Date,Description,Amount
07/01/2026,Direct Deposit Payroll,2000.00
07/02/2026,Walmart Grocery,-64.23
07/03/2026,Starbucks Coffee,-5.75
07/03/2026,Shell Gas Station,-38.40
07/04/2026,Netflix Subscription,-15.99
07/05/2026,Rent Payment,-1200.00
07/06/2026,CVS Pharmacy,-22.10
07/07/2026,Amazon Purchase,-89.99
07/08/2026,Uber Ride,-14.50
07/09/2026,Comcast Internet Bill,-79.99
07/10/2026,Trader Joe Grocery,-52.30
07/11/2026,McDonald Lunch,-9.40
07/12/2026,Spotify Subscription,-9.99
07/13/2026,Freelance Payment,350.00
07/14/2026,Random Store Purchase,-40.00
